,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
30,"""21277""","DOMINO'S 14"" Cheese Pizza, Classic Hand-Tossed Crust",108.0,1.0 slice,4.439,1.980,1.16,4.34,0.346,,0.081,0.004,,0.199,1.07,,,,,0.0,0.166,0.033,0.0,,,0.015,,0.003,2.4,0.000,,,,,,,,59,,,,,,3.618,0.116,0.044,0.906,0.201,1.08,0.049,,0.009,,,,,,,1161,0.189,0.608,,,,0.057,48.46,,1.45,,180.0,0.023,,0.064,0.184,0.004,0.50,2.338,5.8,66,0.176,0.086,0.015,2.3,0.36,0.002,,,,0.089,565.0,0.103,0.13,0.004,,1.737,174.0,,,,,0.057,,0.43,325.0,278.0,0.001,,,,,,,,,,,,,,,,,,,35.9,0.000,,,,,1.638,,0.486,,,,0.0,,26.0,2.127,,0.0,0.009,0.012,0.247,,,,0.0,,0.055,0.54,0.040
31,"""21279""","DOMINO'S 14"" Cheese Pizza, Crunchy Thin Crust",70.0,1.0 slice,4.441,2.633,0.77,2.86,0.042,0.842,0.092,0.004,,0.317,1.04,0.486,0.616,0.001,,0.0,0.165,0.042,0.0,2.565,0.676,0.016,,0.004,1.8,0.001,,,,,,,,,,,0.0,8.63,,0.707,0.067,0.046,0.876,0.319,0.68,0.051,,0.009,,,,0.294,0.003,0.40,873,0.188,0.629,,,,0.062,29.11,,2.48,0.226,204.0,0.022,,0.067,0.056,0.004,0.45,2.624,11.1,,0.184,0.049,0.019,1.96,0.97,0.001,,,,0.09,440.0,0.116,0.06,0.004,,2.274,141.0,,1.311,10.57,0.113,0.062,,0.54,,,,0.073,14.00,19,0.354,0.023,13.9,,,,0.409,2.163,204.0,,,,,,,19.73,0.000,,,,,2.168,,,0.354,,0.153,,,,2.4,0.257,0.0,0.008,0.013,0.250,,,,0.01,0.231,0.061,0.42,0.043
32,"""21278""","DOMINO'S 14"" Cheese Pizza, Ultimate Deep Dish Crust",118.0,1.0 slice,4.793,2.817,1.14,4.98,0.401,1.103,0.091,0.006,,0.309,1.05,0.768,0.749,0.002,,0.0,0.223,0.046,0.0,4.277,0.997,0.017,,0.005,2.8,0.001,,,,,,,,,,,0.0,12.7,,4.142,0.130,0.048,0.977,0.313,0.71,0.053,,0.012,,,,0.450,0.004,1.69,1311,0.248,0.657,,,,0.073,51.24,,2.7,0.411,196.0,0.024,,0.07,0.212,0.004,0.42,2.872,7.2,,0.191,0.047,0.020,2.95,0.81,0.002,,,,0.103,726.0,0.116,0.09,0.005,,2.456,199.0,,1.706,11.6,0.126,0.073,,0.47,,,,0.135,29.46,19,0.56,0.025,24.0,,,,0.607,2.364,240.0,,,,,,,39.51,0.000,,,,,2.338,,,0.966,,0.158,,,,2.626,0.425,4.8,0.011,0.014,0.321,,,,0.0,0.332,0.061,0.86,0.046
33,"""21282""","DOMINO'S 14"" EXTRAVAGANZZA FEAST Pizza, Classic Hand-Tossed Crust",151.0,1.0 slice,6.623,2.152,1.34,4.98,0.204,1.293,,,,0.192,1.21,0.791,0.802,,,0.0,,0.047,0.0,4.296,1.134,0.000,,0.026,3.0,,,,,,,,,72,,,,,,4.907,0.168,0.086,1.788,0.192,1.53,0.069,,0.000,,,,0.482,0.000,1.46,1542,,0.731,,,,,,,1.56,0.584,171.0,,,,0.332,,0.83,5.477,7.9,77,0.177,,0.000,3.14,0.42,,,,,,,,0.15,,,1.903,263.0,,2.217,16.76,0.278,,,,343.0,368.0,,0.125,30.05,30,0.509,0.029,36.2,,,,0.657,3.512,278.0,,,,,,,38.84,,,,,,,,,0.698,,0.154,,,,5.081,0.581,0.0,,,,,,,0.05,0.343,0.065,0.5,
34,"""21280""","DOMINO'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust",113.0,1.0 slice,5.4,2.380,1.16,4.17,0.350,0.932,0.073,0.009,,0.211,1.10,0.598,0.635,0.007,,0.0,0.267,0.058,0.0,3.468,0.777,0.035,,0.018,2.4,0.002,,,,,,,,,,,,,,3.91,0.134,0.070,1.293,0.215,1.05,0.054,,0.014,,,,0.346,0.003,0.94,1292,0.293,0.601,,,,0.061,49.04,,1.51,0.434,159.0,0.026,,0.064,0.226,0.005,0.55,3.806,5.9,,0.155,0.079,0.016,2.61,0.40,0.007,,,,0.172,690.0,0.092,0.10,0.006,,2.087,207.0,,1.478,12.63,0.198,0.061,,0.42,,,,0.092,27.99,28,0.34,0.024,32.0,,,,0.473,2.824,216.0,,,,,,,36.0,0.000,,,,,1.976,,,0.493,,0.127,0.0,0.574,27.0,3.453,0.303,0.0,0.011,0.023,0.354,,,,0.02,0.240,0.050,0.49,0.050
35,"""21492""","DOMINO'S 14"" Pepperoni Pizza, Crunchy Thin Crust",79.0,1.0 slice,5.97,3.241,0.77,2.88,0.087,,0.081,0.009,,0.287,,,,,,,,,0.0,,,0.043,,0.024,2.1,0.003,,,,,,,,,,,,,,1.635,0.082,0.085,1.433,0.290,0.66,0.062,,0.017,,,,,,,1085,0.334,0.663,,,,0.066,30.44,,,,,0.029,,0.072,0.087,0.004,0.64,4.693,,,0.167,0.063,0.021,2.52,,0.009,,,,0.205,619.0,0.099,0.06,0.006,,2.859,177.0,,,,,0.066,,0.50,,,,,,,,,,,,,,,,,,,,,,20.03,0.000,,,,,2.736,,,,,,,,,4.268,,,0.013,0.028,0.400,,,,,,,0.45,0.058
36,"""21281""","DOMINO'S 14"" Pepperoni Pizza, Ultimate Deep Dish Crust",123.0,1.0 slice,5.973,3.136,1.14,4.81,0.443,1.178,0.082,0.010,,0.31,1.08,0.737,0.808,0.009,,0.0,0.331,0.068,0.0,4.203,0.974,0.038,,0.020,3.0,0.002,,,,,,,,,,,,,,3.998,0.140,0.079,1.41,0.314,0.74,0.062,,0.016,,,,0.442,0.004,1.60,1454,0.359,0.688,,,,0.081,51.54,,2.62,0.494,183.0,0.028,,0.075,0.234,0.004,0.64,4.45,7.3,,0.178,0.086,0.021,3.2,0.82,0.009,,,,0.194,852.0,0.106,0.09,0.006,,2.738,234.0,,1.931,14.88,0.223,0.081,,0.41,,,,0.139,28.25,30,0.449,0.030,30.1,,,,0.572,3.091,242.0,,,,,,,39.22,0.000,,,,,2.601,,,0.588,,0.145,,,,4.048,0.370,3.9,0.014,0.025,0.440,,,,0.0,0.303,0.057,0.82,0.055
37,"""21494""","DOMINO'S 14"" Sausage Pizza, Classic Hand-Tossed Crust",114.0,1.0 slice,5.252,2.719,1.29,4.47,0.376,,0.073,0.010,,0.226,,,,,,,,,0.0,,,0.023,,0.030,2.7,0.005,,,,,,,,,,,,,,3.819,0.135,0.050,1.24,0.229,1.22,0.042,,0.018,,,,,,,1300,0.179,0.560,,,,0.063,49.65,,,,,0.019,,0.056,0.182,0.003,0.55,3.837,,,0.152,0.080,0.016,2.64,,0.002,,,,0.162,677.0,0.091,0.09,0.007,,2.394,209.0,,,,,0.063,,0.46,,,,,,,,,,,,,,,,,,,,,,36.3,0.000,,,,,2.289,,,,,,,,,3.525,,,0.014,0.025,0.242,,,,,,,0.42,0.041
38,"""21493""","DOMINO'S 14"" Sausage Pizza, Crunchy Thin Crust",78.0,1.0 slice,5.522,3.527,0.65,2.67,0.070,,0.078,0.009,,0.358,,,,,,,,,0.0,,,0.026,,0.034,2.0,0.005,,,,,,,,,,,,,,1.264,0.086,0.055,1.28,0.362,0.60,0.046,,0.019,,,,,,,1041,0.183,0.605,,,,0.062,31.5,,,,,0.020,,0.061,0.062,0.003,0.51,4.37,,,0.164,0.055,0.020,2.36,,0.002,,,,0.178,566.0,0.098,0.06,0.007,,3.06,180.0,,,,,0.062,,0.44,,,,,,,,,,,,,,,,,,,,,,19.73,0.000,,,,,2.952,,,,,,,,,4.021,,,0.013,0.029,0.245,,,,,,,0.47,0.046
39,"""21495""","DOMINO'S 14"" Sausage Pizza, Ultimate Deep Dish Crust",129.0,1.0 slice,6.134,3.497,1.07,4.93,0.477,,0.089,0.010,,0.325,,,,,,,,,0.0,,,0.027,,0.034,3.4,0.005,,,,,,,,,,,,,,4.27,0.144,0.061,1.422,0.329,0.65,0.052,,0.021,,,,,,,1495,0.255,0.690,,,,0.081,55.62,,,,,0.025,,0.07,0.232,0.004,0.65,4.654,,,0.19,0.065,0.021,3.42,,0.004,,,,0.193,873.0,0.108,0.10,0.008,,3.059,243.0,,,,,0.081,,0.39,,,,,,,,,,,,,,,,,,,,,,40.21,0.000,,,,,2.924,,,,,,,,,4.272,,,0.015,0.028,0.337,,,,,,,0.86,0.052
40,"""21142""","Fast food, biscuit",55.0,1.0 biscuit,6.492,1.209,0.00,2.13,0.243,,0.017,0.000,17,0.108,0.26,,,,,0.07,0.095,0.009,0.0,,,0.002,,0.001,1.4,,0,,,,,,,10,,0,,,,2.042,0.045,0.007,1.623,0.113,0.00,0.0,67,,,,,,,,851,0.095,0.576,,,,0.019,15.33,0,0.85,,38.0,,0,0.002,0.167,,0.00,1.368,2.5,10,1.781,0.032,0.011,1.82,0.28,0.000,,,,0.006,538.0,0.002,,,0.0,1.094,72.0,,,,,0.019,,0.85,33.0,204.0,0.000,,,,,,,29,0.213,46,,,,0.0,0.4,,0.0,0.4,,23.55,0.000,,0.0,,1.257,1.072,,0.228,,,,0.0,,8.0,1.352,,,0.000,0.002,0.114,0.0,0.01,,0.09,,0.202,1.0,0.003
41,"""21299""","Fast Food, Pizza Chain, 14"" pizza, cheese topping, regular crust",107.0,1.0 slice,4.778,1.799,1.07,3.83,0.417,1.219,0.086,0.004,43,0.187,0.89,0.710,0.824,0.002,,0.0,0.172,0.040,0.0,3.782,0.898,0.016,,0.003,2.5,0.000,62,,,,,,,65,,0,0.0,12.19,2049,4.093,0.112,0.046,0.918,0.189,0.83,0.051,138,0.011,,,,0.439,0.003,1.12,1191,0.196,0.644,,,,0.061,46.19,0,1.27,0.365,201.0,0.024,98,0.068,0.209,0.004,0.45,2.791,7.2,74,0.187,0.086,0.015,2.58,0.36,0.002,,,,0.101,640.0,0.108,0.14,0.004,0.0,1.565,184.0,29.7,1.452,10.37,0.125,0.061,,0.21,383.0,285.0,0.001,,,,0.559,0.022,21.3,56,0.385,100,0.603,2.459,231.0,0.0,17.5,0.749,0.0,17.5,0.749,35.66,0.000,,0.0,,2.383,1.463,,,0.52,,0.151,0.0,0.770,26.0,2.555,0.380,0.0,0.010,0.013,0.258,0.0,,1.5,0.0,0.282,0.059,0.45,0.042
42,"""21511""","Fast Food, Pizza Chain, 14"" pizza, cheese topping, stuffed crust",117.0,1.0 slice 1/8 pizza,6.815,1.810,0.78,3.39,0.378,1.252,0.167,0.005,47,0.176,0.78,0.749,0.694,0.001,,0.26,0.222,0.032,0.0,3.970,0.950,0.022,,0.004,2.0,0.000,53,,,,,,,129,,0,0.0,14.31,1094,4.403,0.095,0.069,1.166,0.181,0.47,0.108,146,0.013,,,,0.459,0.005,1.29,1340,0.257,1.051,,,,0.085,50.74,0,1.04,0.358,278.0,0.035,102,0.112,0.39,0.004,0.47,3.242,9.7,137,0.322,0.139,0.014,3.23,0.35,0.001,,,,0.163,720.0,0.205,0.15,0.007,0.0,1.577,268.0,31.5,2.035,13.61,0.197,0.084,,0.00,598.0,321.0,0.000,0.145,27.73,35,0.469,0.023,18.7,58,0.411,105,0.67,3.299,291.0,0.0,20.2,0.682,0.0,20.2,0.682,35.1,0.000,,1.0,0,2.659,1.444,,0.526,0.515,,0.273,0.0,0.827,26.0,2.882,0.369,,0.013,0.020,0.342,0.0,,3.6,0.0,0.314,0.106,0.7,0.049
43,"""21300""","Fast Food, Pizza Chain, 14"" pizza, cheese topping, thick crust",115.0,1.0 slice,4.86,3.165,0.83,3.84,0.420,,0.093,0.006,46,0.352,0.94,,,,,0.0,0.212,0.048,0.0,,,0.017,,0.005,2.5,0.000,25,,,,,,,70,,0,,,,4.019,0.120,0.049,0.976,0.355,0.57,0.054,175,0.012,,,,,,,1303,0.236,0.660,,,,0.069,49.51,0,2.4,,206.0,0.024,107,0.07,0.23,0.005,0.40,2.984,11.5,79,0.193,0.069,0.022,2.81,0.71,0.002,,,,0.107,687.0,0.117,0.13,0.005,0.0,2.763,194.0,,,,,0.069,,0.23,414.0,312.0,0.002,,,,,,,76,0.385,122,,,,0.0,19.1,,0.0,19.1,,38.15,0.000,,0.0,,2.517,2.65,,,,,,0.0,,26.0,2.729,,,0.010,0.013,0.305,0.0,,1.4,0.0,,0.062,0.66,0.045
44,"""21301""","Fast Food, Pizza Chain, 14"" pizza, cheese topping, thin crust",76.0,1.0 slice,4.73,2.313,0.78,2.74,0.156,,0.1,0.004,30,0.264,0.98,,,,,,,,0.0,,,0.017,,0.004,1.9,0.001,23,,,,,,,49,,0,,,,1.972,0.076,0.049,0.914,0.268,0.59,0.057,103,0.011,,,,,,,960,0.204,0.691,,,,0.065,29.58,0,,,,0.024,74,0.074,0.122,0.004,0.43,2.665,7.4,55,0.203,0.049,0.017,2.33,,0.002,,,,0.1,564.0,0.125,0.11,0.005,0.0,2.003,151.0,,,,,0.065,,0.29,286.0,230.0,0.001,,,,,,,43,0.232,73,,,,0.0,14.4,,0.0,14.4,,23.71,0.000,,0.0,,2.249,1.893,,,,,,0.0,,18.0,2.428,,,0.010,0.014,0.269,0.0,,2.3,,,,0.42,0.046
45,"""21304""","Fast Food, Pizza Chain, 14"" pizza, meat and vegetable topping, regular crust",136.0,1.0 slice,5.994,2.570,1.50,5.07,0.348,1.255,0.038,,35,0.188,1.17,0.752,0.836,,,0.0,,0.057,0.0,3.985,1.175,0.019,,0.031,3.0,,35,2.7,0.08,0.611,0.000,,0.039,73,,0,0.016,14.99,2297,4.216,0.188,0.068,1.496,0.214,1.46,0.052,118,0.000,,,,0.543,0.000,1.65,1387,,0.608,,,,,,,1.26,0.575,163.0,,,,0.362,0.000,0.92,5.15,8.4,83,0.146,0.133,0.003,3.13,0.37,0.001,,,,,,,0.14,,0.0,2.069,250.0,32.2,1.506,14.82,0.265,,,,428.0,332.0,,0.148,25.43,37,0.524,0.026,31.4,49,0.371,84,0.656,3.169,249.0,0.0,29.5,0.812,0.0,29.5,0.812,34.52,,,0.0,,,,,,0.691,,0.126,0.0,0.787,31.0,4.756,0.454,0.0,,,,0.0,,0.1,0.05,0.295,0.053,0.23,
46,"""21302""","Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, regular crust",111.0,1.0 slice,5.652,2.291,1.03,3.62,0.477,,0.075,0.009,40,0.205,0.97,,,,,,,,0.0,,,0.032,,0.023,2.6,0.003,27,,,,,,,69,,0,,,,4.595,0.125,0.065,1.299,0.209,0.81,0.052,145,0.016,,,,,,,1310,0.256,0.605,,,,0.06,46.36,0,,,,0.024,104,0.064,0.244,0.004,0.56,4.277,7.1,78,0.16,0.089,0.016,2.87,,0.016,,,,0.182,760.0,0.095,0.10,0.007,0.0,1.996,216.0,,,,,0.06,,0.20,405.0,313.0,0.002,,,,,,,62,0.427,102,,,,0.0,28.2,,0.0,28.2,,35.5,0.000,,0.0,,3.665,1.888,,,,,,0.0,,27.0,3.897,,,0.012,0.024,0.317,0.0,,1.0,,,,0.39,0.048
47,"""21303""","Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thick crust",118.0,1.0 slice,5.71,3.516,0.77,3.46,0.460,,0.078,0.009,54,0.353,1.03,,,,,,,,0.0,,,0.033,,0.024,2.6,0.002,27,,,,,,,74,,0,,,,4.13,0.129,0.068,1.35,0.358,0.55,0.054,169,0.017,,,,,,,1415,0.281,0.625,,,,0.07,49.01,0,,,,0.025,112,0.067,0.236,0.004,0.60,4.403,13.6,84,0.164,0.094,0.022,3.01,,0.013,,,,0.188,807.0,0.1,0.09,0.006,0.0,3.069,223.0,,,,,0.07,,0.20,433.0,339.0,0.002,,,,,,,67,0.426,122,,,,0.0,29.3,,0.0,29.3,,37.57,0.000,,0.0,,3.755,2.95,,,,,,0.0,,27.0,4.011,,,0.013,0.027,0.350,0.0,,0.8,,,,0.61,0.050
48,"""21485""","Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thin crust",79.0,1.0 slice,5.621,2.857,0.73,2.54,0.178,,0.072,0.009,28,0.248,1.02,,,,,,,,0.0,,,0.036,,0.028,1.8,0.004,19,,,,,,,49,,0,,,,2.615,0.087,0.073,1.363,0.252,0.54,0.053,103,0.017,,,,,,,1093,0.276,0.610,,,,0.06,28.48,0,,,,0.026,74,0.065,0.134,0.004,0.60,4.442,7.5,55,0.155,0.075,0.018,2.63,,0.017,,,,0.194,691.0,0.087,0.08,0.006,0.0,2.509,176.0,,,,,0.06,,0.25,289.0,261.0,0.002,,,,,,,44,0.280,73,,,,0.0,29.6,,0.0,29.6,,22.91,0.000,,0.0,,3.790,2.398,,,,,,0.0,,20.0,4.04,,,0.013,0.028,0.336,0.0,,1.6,,,,0.38,0.051
49,"""21484""","Fast Food, Pizza Chain, 14"" pizza, sausage topping, regular crust",116.0,1.0 slice,5.838,2.728,1.16,3.85,0.400,,0.075,0.012,41,0.219,1.06,,,,,,,,0.0,,,0.026,,0.038,2.7,0.006,27,,,,,,,70,,0,,,,4.408,0.129,0.055,1.357,0.224,0.93,0.043,146,0.022,,,,,,,1357,0.188,0.586,,,,0.063,49.95,0,,,,0.021,106,0.058,0.22,0.003,0.56,4.697,7.8,79,0.157,0.093,0.016,2.87,,0.002,,,,0.196,734.0,0.094,0.10,0.007,0.0,2.386,229.0,,,,,0.063,,0.23,408.0,325.0,0.002,,,,,,,61,0.408,102,,,,0.0,30.5,,0.0,30.5,,35.52,0.000,,0.0,,4.161,2.281,,,,,,0.0,,28.0,4.329,,,0.015,0.031,0.251,0.0,,2.0,,,,0.35,0.043
50,"""21482""","Fast Food, Pizza Chain, 14"" pizza, sausage topping, thick crust",127.0,1.0 slice,6.102,4.086,0.76,3.58,0.489,,0.08,0.013,55,0.381,1.14,,,,,,,,0.0,,,0.029,,0.041,2.9,0.006,28,,,,,,,76,,0,,,,4.534,0.136,0.060,1.457,0.386,0.53,0.047,173,0.023,,,,,,,1500,0.218,0.626,,,,0.075,54.89,0,,,,0.023,116,0.064,0.241,0.004,0.62,5.005,15.0,85,0.168,0.089,0.023,3.06,,0.004,,,,0.211,809.0,0.1,0.10,0.008,0.0,3.575,241.0,,,,,0.075,,0.19,446.0,358.0,0.001,,,,,,,70,0.410,124,,,,0.0,32.4,,0.0,32.4,,38.56,0.000,,0.0,,4.406,3.451,,,,,,0.0,,29.0,4.601,,,0.017,0.033,0.293,0.0,,1.3,,,,0.64,0.048
51,"""21483""","Fast Food, Pizza Chain, 14"" pizza, sausage topping, thin crust",88.0,1.0 slice,6.061,3.455,0.72,2.66,0.198,,0.085,0.012,30,0.318,1.14,,,,,,,,0.0,,,0.029,,0.042,2.2,0.007,19,,,,,,,52,,0,,,,2.693,0.092,0.061,1.424,0.322,0.57,0.048,108,0.023,,,,,,,1181,0.197,0.650,,,,0.066,34.17,0,,,,0.023,123,0.065,0.132,0.004,0.51,4.86,8.4,62,0.174,0.066,0.018,2.73,,0.003,,,,0.209,688.0,0.108,0.09,0.008,0.0,3.003,198.0,,,,,0.066,,0.26,378.0,282.0,0.001,,,,,,,46,0.265,76,,,,0.0,33.2,,0.0,33.2,,23.76,0.000,,0.0,,4.292,2.889,,,,,,0.0,,22.0,4.466,,,0.016,0.035,0.262,0.0,,1.8,,,,0.41,0.048
52,"""21411""","Fast foods, bagel, with breakfast steak, egg, cheese, and condiments",254.0,1.0 item,13.764,4.696,2.18,7.54,0.599,,0.028,,25,,,,,,,0.0,,0.081,0.0,,,0.000,,0.076,0.5,,384,,,,,,,206,,0,,,,8.522,0.856,0.234,3.51,0.368,2.08,0.386,185,0.064,,,,,,,3002,,1.300,,,,,,,2.9,,236.0,,,,0.648,0.000,3.23,12.692,8.6,211,0.234,0.335,0.005,5.28,1.17,0.000,,,,,,,,0.064,0.0,3.81,368.0,26.4,,,,,,,777.0,716.0,,,,,,,,97,0.478,119,,,,0.0,208.8,,0.0,208.8,,58.39,,,0.0,38,,,,,,,,1.0,,56.0,11.379,,1.5,,,,0.0,,,0.0,,0.178,0.94,
53,"""21410""","Fast foods, bagel, with egg, sausage patty, cheese, and condiments",219.0,1.0 item,14.007,5.701,1.75,6.29,0.668,,0.0,,33,,,,,,,0.0,,0.169,0.0,,,0.000,,0.329,0.4,,261,,,,,,,140,,0,,,,6.301,0.716,0.138,3.701,0.329,1.84,0.131,175,0.066,,,,,,,2705,,1.102,,,,,,,1.91,,206.0,,,,0.477,0.000,2.10,13.197,6.1,140,0.247,0.199,0.000,4.91,0.64,0.000,,,,,,,,0.044,0.0,4.627,269.0,19.1,,,,,,,464.0,646.0,,,,,,,,85,0.392,116,,,,0.0,183.5,,0.0,183.5,,49.58,,,0.0,39,,,,,,,,0.9,,44.0,12.155,,0.7,,,,0.0,,1.1,0.0,,0.169,0.79,
54,"""21010""","Fast foods, biscuit, with crispy chicken fillet",132.0,1.0 item,7.54,4.367,0.00,3.46,0.330,,0.003,0.009,36,0.265,2.48,,,,,0.36,0.051,0.092,0.0,,,0.007,,0.009,1.8,0.000,55,3.8,0.86,,,,,13,,0,,,,6.332,0.079,0.016,0.927,0.284,0.00,0.001,117,0.007,,,,,,,1657,0.054,0.389,,,,0.038,52.01,0,2.71,,58.0,0.001,1,0.011,0.343,0.004,0.20,7.201,8.7,13,0.869,0.273,0.033,4.18,0.41,0.007,,,,0.054,1146.0,0.007,,0.004,0.0,4.009,272.0,,,,,0.038,,2.43,46.0,396.0,0.007,,,,,,,48,0.318,84,,,,0.0,29.4,,0.0,29.4,,40.34,0.000,,0.0,5,6.979,3.959,,,,,,0.1,,24.0,7.03,,0.0,0.007,0.036,0.092,0.0,,0.9,1.27,,0.074,0.87,0.012
55,"""21003""","Fast foods, biscuit, with egg and bacon",150.0,1.0 biscuit,7.95,7.470,,3.29,0.135,1.312,0.012,,30,,,,1.024,,,,,,,,,,,,0.8,,160,,,,,,,93,,0,,,,2.4,0.113,,2.47,0.512,,,,,,,,0.679,,,1914,,0.220,,,,,,,,,,,,,0.225,0.002,1.03,13.44,6.5,94,0.033,0.135,,3.6,,0.002,,,,,,,,,,6.826,250.0,,1.091,31.09,0.535,,,,350.0,458.0,,0.216,,352,0.594,,30.9,30,0.279,60,0.822,5.124,238.0,0.0,147.8,0.936,0.0,147.8,0.936,28.59,,,0.0,38,,,,,0.936,,0.033,0.9,0.953,24.0,12.88,0.430,,,,,0.0,,2.7,,,,,
56,"""21004""","Fast foods, biscuit, with egg and ham",182.0,1.0 biscuit,5.606,7.298,,4.0,0.637,1.571,0.016,,31,,,,1.314,,,,,,,,,,,,0.7,,197,,,,,,,107,,0,,,,1.893,0.131,,1.62,0.442,,,,,,,,0.830,,,1771,,0.137,,,,,,,,,,,,,0.564,0.004,1.13,10.392,6.6,109,0.027,0.255,,4.2,,0.002,,,,,,,,,,6.718,302.0,,1.128,25.63,0.306,,,,406.0,424.0,,0.258,,284,0.697,,34.9,31,0.289,62,0.948,3.718,300.0,0.0,176.5,1.046,0.0,176.5,1.046,29.79,,,0.0,46,,,,,1.128,,0.025,1.1,1.026,29.0,10.065,0.566,,,,,0.0,,,,,,,
57,"""21005""","Fast Foods, biscuit, with egg and sausage",162.0,1.0 item,10.447,4.807,0.00,1.54,0.457,1.257,0.0,,15,,,,0.985,,,0.0,,0.162,0.0,3.101,1.513,0.000,,0.365,0.3,,141,,,,,,,63,,0,,,,3.997,0.395,0.057,3.6,0.206,0.28,0.0,107,0.032,,,,0.723,,0.29,2114,,0.287,,,,,,,6.22,0.750,83.0,,,,0.426,0.000,1.22,16.176,7.1,70,0.019,0.110,0.032,4.15,3.01,0.000,,,,,,,,0.036,0.0,3.912,241.0,11.8,1.017,33.65,0.570,,,,329.0,505.0,,0.219,26.45,261,0.515,0.154,36.6,55,0.224,68,0.705,6.24,505.0,0.0,158.6,0.957,0.0,158.6,0.957,34.1,,,0.0,36,,,,,0.904,,0.016,0.8,0.863,21.0,15.442,0.434,28.8,,,,0.0,,,0.0,0.356,0.011,0.57,
